INFO:root:Number of parameters: 1733466
INFO:root:000: Acc-tr:  38.41, Acc-val:  39.55, L-tr: 1.6940, L-val: 1.8065
INFO:root:001: Acc-tr:  58.81, Acc-val:  59.78, L-tr: 1.1454, L-val: 1.1483
INFO:root:002: Acc-tr:  66.97, Acc-val:  62.54, L-tr: 0.9205, L-val: 1.0832
INFO:root:003: Acc-tr:  72.28, Acc-val:  69.76, L-tr: 0.7902, L-val: 0.8655
INFO:root:004: Acc-tr:  75.63, Acc-val:  71.41, L-tr: 0.6900, L-val: 0.8287
INFO:root:005: Acc-tr:  78.18, Acc-val:  71.85, L-tr: 0.6154, L-val: 0.8385
INFO:root:006: Acc-tr:  80.00, Acc-val:  73.37, L-tr: 0.5659, L-val: 0.7782
INFO:root:007: Acc-tr:  82.11, Acc-val:  72.50, L-tr: 0.5094, L-val: 0.8329
INFO:root:008: Acc-tr:  83.48, Acc-val:  75.57, L-tr: 0.4727, L-val: 0.7556
INFO:root:009: Acc-tr:  84.86, Acc-val:  78.05, L-tr: 0.4279, L-val: 0.6410
INFO:root:010: Acc-tr:  86.21, Acc-val:  79.39, L-tr: 0.3947, L-val: 0.6124
INFO:root:011: Acc-tr:  87.43, Acc-val:  76.18, L-tr: 0.3554, L-val: 0.7393
INFO:root:012: Acc-tr:  88.32, Acc-val:  70.65, L-tr: 0.3295, L-val: 0.9790
INFO:root:013: Acc-tr:  88.75, Acc-val:  77.19, L-tr: 0.3177, L-val: 0.7281
INFO:root:014: Acc-tr:  89.92, Acc-val:  76.45, L-tr: 0.2838, L-val: 0.7731
INFO:root:015: Acc-tr:  90.80, Acc-val:  77.83, L-tr: 0.2612, L-val: 0.7980
INFO:root:016: Acc-tr:  91.03, Acc-val:  80.88, L-tr: 0.2505, L-val: 0.6217
INFO:root:017: Acc-tr:  92.23, Acc-val:  77.59, L-tr: 0.2223, L-val: 0.7834
INFO:root:018: Acc-tr:  92.53, Acc-val:  79.84, L-tr: 0.2101, L-val: 0.7142
INFO:root:019: Acc-tr:  92.94, Acc-val:  79.88, L-tr: 0.2006, L-val: 0.6724
INFO:root:020: Acc-tr:  93.25, Acc-val:  78.00, L-tr: 0.1904, L-val: 0.8058
INFO:root:021: Acc-tr:  93.42, Acc-val:  79.36, L-tr: 0.1847, L-val: 0.8412
INFO:root:022: Acc-tr:  94.22, Acc-val:  80.67, L-tr: 0.1659, L-val: 0.6975
INFO:root:023: Acc-tr:  94.57, Acc-val:  80.67, L-tr: 0.1564, L-val: 0.6977
INFO:root:024: Acc-tr:  94.54, Acc-val:  80.26, L-tr: 0.1581, L-val: 0.7597
INFO:root:025: Acc-tr:  94.82, Acc-val:  81.01, L-tr: 0.1469, L-val: 0.7313
INFO:root:026: Acc-tr:  95.21, Acc-val:  81.62, L-tr: 0.1378, L-val: 0.7606
INFO:root:027: Acc-tr:  95.08, Acc-val:  79.01, L-tr: 0.1390, L-val: 0.7915
INFO:root:028: Acc-tr:  95.22, Acc-val:  82.34, L-tr: 0.1356, L-val: 0.6549
INFO:root:029: Acc-tr:  95.72, Acc-val:  79.33, L-tr: 0.1239, L-val: 0.7832
INFO:root:030: Acc-tr:  95.62, Acc-val:  79.87, L-tr: 0.1249, L-val: 0.8230
INFO:root:031: Acc-tr:  95.73, Acc-val:  81.26, L-tr: 0.1218, L-val: 0.7644
INFO:root:032: Acc-tr:  95.88, Acc-val:  80.48, L-tr: 0.1180, L-val: 0.8183
INFO:root:033: Acc-tr:  96.10, Acc-val:  82.83, L-tr: 0.1143, L-val: 0.6208
INFO:root:034: Acc-tr:  96.19, Acc-val:  80.99, L-tr: 0.1110, L-val: 0.7190
INFO:root:035: Acc-tr:  96.06, Acc-val:  80.14, L-tr: 0.1126, L-val: 0.7909
INFO:root:036: Acc-tr:  96.26, Acc-val:  81.36, L-tr: 0.1092, L-val: 0.7047
INFO:root:037: Acc-tr:  96.29, Acc-val:  81.09, L-tr: 0.1067, L-val: 0.7318
INFO:root:038: Acc-tr:  96.47, Acc-val:  80.51, L-tr: 0.1034, L-val: 0.8051
INFO:root:039: Acc-tr:  96.35, Acc-val:  80.61, L-tr: 0.1028, L-val: 0.7615
INFO:root:040: Acc-tr:  96.57, Acc-val:  81.17, L-tr: 0.1004, L-val: 0.7423
INFO:root:041: Acc-tr:  96.53, Acc-val:  79.09, L-tr: 0.1006, L-val: 0.8842
INFO:root:042: Acc-tr:  96.62, Acc-val:  81.97, L-tr: 0.0973, L-val: 0.7283
INFO:root:043: Acc-tr:  96.75, Acc-val:  75.38, L-tr: 0.0939, L-val: 0.9994
INFO:root:044: Acc-tr:  96.89, Acc-val:  82.42, L-tr: 0.0905, L-val: 0.7069
INFO:root:045: Acc-tr:  96.86, Acc-val:  82.94, L-tr: 0.0919, L-val: 0.6581
INFO:root:046: Acc-tr:  96.98, Acc-val:  81.97, L-tr: 0.0880, L-val: 0.7076
INFO:root:047: Acc-tr:  96.92, Acc-val:  80.92, L-tr: 0.0895, L-val: 0.7858
INFO:root:048: Acc-tr:  96.99, Acc-val:  81.81, L-tr: 0.0878, L-val: 0.7173
INFO:root:049: Acc-tr:  97.03, Acc-val:  81.53, L-tr: 0.0859, L-val: 0.7403
INFO:root:050: Acc-tr:  97.17, Acc-val:  83.09, L-tr: 0.0806, L-val: 0.6928
INFO:root:051: Acc-tr:  97.18, Acc-val:  83.46, L-tr: 0.0830, L-val: 0.7081
INFO:root:052: Acc-tr:  96.98, Acc-val:  80.73, L-tr: 0.0869, L-val: 0.7452
INFO:root:053: Acc-tr:  97.21, Acc-val:  81.22, L-tr: 0.0790, L-val: 0.7409
INFO:root:054: Acc-tr:  96.89, Acc-val:  81.05, L-tr: 0.0877, L-val: 0.8099
INFO:root:055: Acc-tr:  97.08, Acc-val:  83.13, L-tr: 0.0832, L-val: 0.6745
INFO:root:056: Acc-tr:  97.22, Acc-val:  81.26, L-tr: 0.0791, L-val: 0.8552
INFO:root:057: Acc-tr:  97.19, Acc-val:  82.27, L-tr: 0.0820, L-val: 0.7289
INFO:root:058: Acc-tr:  97.20, Acc-val:  81.41, L-tr: 0.0810, L-val: 0.7607
INFO:root:059: Acc-tr:  97.38, Acc-val:  82.47, L-tr: 0.0782, L-val: 0.7261
INFO:root:060: Acc-tr:  97.48, Acc-val:  82.21, L-tr: 0.0733, L-val: 0.7735
INFO:root:061: Acc-tr:  97.35, Acc-val:  82.06, L-tr: 0.0740, L-val: 0.7283
INFO:root:062: Acc-tr:  97.48, Acc-val:  83.00, L-tr: 0.0734, L-val: 0.7311
INFO:root:063: Acc-tr:  97.40, Acc-val:  80.53, L-tr: 0.0757, L-val: 0.8494
INFO:root:064: Acc-tr:  97.43, Acc-val:  82.42, L-tr: 0.0755, L-val: 0.7056
INFO:root:065: Acc-tr:  97.49, Acc-val:  82.96, L-tr: 0.0728, L-val: 0.7123
INFO:root:066: Acc-tr:  97.35, Acc-val:  81.13, L-tr: 0.0749, L-val: 0.7725
INFO:root:067: Acc-tr:  97.41, Acc-val:  82.21, L-tr: 0.0757, L-val: 0.7931
INFO:root:068: Acc-tr:  97.44, Acc-val:  81.33, L-tr: 0.0732, L-val: 0.7610
INFO:root:069: Acc-tr:  97.52, Acc-val:  82.75, L-tr: 0.0735, L-val: 0.6978
INFO:root:070: Acc-tr:  97.63, Acc-val:  80.68, L-tr: 0.0682, L-val: 0.8224
INFO:root:071: Acc-tr:  97.34, Acc-val:  81.76, L-tr: 0.0753, L-val: 0.7256
